Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Gender,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,2020 pop,2021 pop,Total Sales/cap,Units sold/cap
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,M,$60.00 ,"1,250","$750,000 ","$375,000 ",50%,Outlet,20104710,19854526,0.037774762,
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,M,$55.00 ,"1,025","$563,750 ","$169,125 ",30%,Outlet,20104710,19854526,0.02839403,
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,F,$50.00 ,950,"$475,000 ","$166,250 ",35%,Outlet,20104710,19854526,0.023924016,
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,F,$50.00 ,925,"$462,500 ","$161,875 ",35%,Outlet,20104710,19854526,0.023294437,
Walmart,1185732,4/17/2020,Northeast,New York,New York,Men's Apparel,M,$60.00 ,900,"$540,000 ","$162,000 ",30%,Outlet,20104710,19854526,0.027197829,
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,F,$65.00 ,"1,075","$698,750 ","$174,688 ",25%,Outlet,20104710,19854526,0.035193487,
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,M,$60.00 ,"1,200","$720,000 ","$360,000 ",50%,Outlet,20104710,19854526,0.036263772,
Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,M,$55.00 ,"1,000","$550,000 ","$165,000 ",30%,Outlet,20104710,19854526,0.027701492,
Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,F,$50.00 ,925,"$462,500 ","$161,875 ",35%,Outlet,20104710,19854526,0.023294437,
Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,F,$50.00 ,900,"$450,000 ","$157,500 ",35%,Outlet,20104710,19854526,0.022664857,
Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,M,$60.00 ,900,"$540,000 ","$162,000 ",30%,Outlet,20104710,19854526,0.027197829,
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,F,$65.00 ,"1,000","$650,000 ","$162,500 ",25%,Outlet,20104710,19854526,0.032738127,
Walmart,1185732,4/25/2020,Northeast,New York,New York,Men's Apparel,M,$65.00 ,875,"$568,750 ","$170,625 ",30%,Outlet,20104710,19854526,0.028645861,
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,F,$70.00 ,"1,000","$700,000 ","$175,000 ",25%,Outlet,20104710,19854526,0.035256445,
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,M,$65.00 ,"1,150","$747,500 ","$373,750 ",50%,Outlet,20104710,19854526,0.037648846,
Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,M,$55.00 ,975,"$536,250 ","$160,875 ",30%,Outlet,20104710,19854526,0.027008955,
Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,F,$55.00 ,920,"$506,000 ","$177,100 ",35%,Outlet,20104710,19854526,0.025485373,
Walmart,1185732,4/30/2020,Northeast,New York,New York,Women's Athletic Footwear,F,$55.00 ,900,"$495,000 ","$173,250 ",35%,Outlet,20104710,19854526,0.024931343,
Walmart,1185732,5/1/2020,Northeast,New York,New York,Men's Apparel,M,$65.00 ,875,"$568,750 ","$170,625 ",30%,Outlet,20104710,19854526,0.028645861,
Walmart,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,F,$70.00 ,975,"$682,500 ","$170,625 ",25%,Outlet,20104710,19854526,0.034375034,
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,M,$65.00 ,"1,200","$780,000 ","$390,000 ",50%,Outlet,20104710,19854526,0.039285753,
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,M,$55.00 ,"1,000","$550,000 ","$165,000 ",30%,Outlet,20104710,19854526,0.027701492,
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,F,$55.00 ,950,"$522,500 ","$182,875 ",35%,Outlet,20104710,19854526,0.026316418,
Walmart,1185732,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,F,$55.00 ,900,"$495,000 ","$173,250 ",35%,Outlet,20104710,19854526,0.024931343,
Walmart,1185732,5/7/2020,Northeast,New York,New York,Men's Apparel,M,$65.00 ,900,"$585,000 ","$175,500 ",30%,Outlet,20104710,19854526,0.029464315,
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,F,$70.00 ,"1,000","$700,000 ","$175,000 ",25%,Outlet,20104710,19854526,0.035256445,
Sports Direct,1197831,7/19/2020,Northeast,New York,New York,Men's Street Footwear,M,$25.00 ,900,"$225,000 ","$78,750 ",35%,Outlet,20104710,19854526,0.011332429,
Sports Direct,1197831,7/20/2020,Northeast,New York,New York,Men's Athletic Footwear,M,$35.00 ,900,"$315,000 ","$110,250 ",35%,Outlet,20104710,19854526,0.0158654,
Sports Direct,1197831,7/21/2020,Northeast,New York,New York,Women's Street Footwear,F,$35.00 ,700,"$245,000 ","$85,750 ",35%,Outlet,20104710,19854526,0.012339756,
Sports Direct,1197831,7/22/2020,Northeast,New York,New York,Women's Athletic Footwear,F,$35.00 ,700,"$245,000 ","$110,250 ",45%,Outlet,20104710,19854526,0.012339756,
Sports Direct,1197831,7/23/2020,South,Texas,Houston,Men's Apparel,M,$40.00 ,550,"$220,000 ","$66,000 ",30%,Outlet,29234361,29561286,0.007442166,
Sports Direct,1197831,7/24/2020,South,Texas,Houston,Women's Apparel,F,$35.00 ,700,"$245,000 ","$122,500 ",50%,Outlet,29234361,29561286,0.008287867,
Sports Direct,1197831,7/25/2020,South,Texas,Houston,Men's Street Footwear,M,$25.00 ,850,"$212,500 ","$74,375 ",35%,Outlet,29234361,29561286,0.007188456,
Sports Direct,1197831,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,M,$35.00 ,850,"$297,500 ","$104,125 ",35%,Outlet,29234361,29561286,0.010063838,
Sports Direct,1197831,7/27/2020,South,Texas,Houston,Women's Street Footwear,F,$35.00 ,675,"$236,250 ","$82,688 ",35%,Outlet,29234361,29561286,0.007991872,
Sports Direct,1197831,7/28/2020,South,Texas,Houston,Women's Athletic Footwear,F,$35.00 ,625,"$218,750 ","$98,438 ",45%,Outlet,29234361,29561286,0.007399881,
Sports Direct,1197831,7/29/2020,South,Texas,Houston,Men's Apparel,M,$40.00 ,500,"$200,000 ","$60,000 ",30%,Outlet,29234361,29561286,0.006765606,
Sports Direct,1197831,7/30/2020,South,Texas,Houston,Women's Apparel,F,$35.00 ,700,"$245,000 ","$122,500 ",50%,Outlet,29234361,29561286,0.008287867,
Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,M,$30.00 ,875,"$262,500 ","$91,875 ",35%,Outlet,29234361,29561286,0.008879857,
Sports Direct,1197831,8/1/2020,South,Texas,Houston,Men's Athletic Footwear,M,$40.00 ,875,"$350,000 ","$122,500 ",35%,Outlet,29234361,29561286,0.01183981,
Sports Direct,1197831,8/2/2020,South,Texas,Houston,Women's Street Footwear,F,$35.00 ,700,"$245,000 ","$85,750 ",35%,Outlet,29234361,29561286,0.008287867,
Sports Direct,1197831,8/3/2020,South,Texas,Houston,Women's Athletic Footwear,F,$40.00 ,600,"$240,000 ","$108,000 ",45%,Outlet,29234361,29561286,0.008118727,
Sports Direct,1197831,8/4/2020,South,Texas,Houston,Men's Apparel,M,$45.00 ,500,"$225,000 ","$67,500 ",30%,Outlet,29234361,29561286,0.007611306,
Sports Direct,1197831,8/5/2020,South,Texas,Houston,Women's Apparel,F,$40.00 ,650,"$260,000 ","$130,000 ",50%,Outlet,29234361,29561286,0.008795287,
Sports Direct,1197831,8/6/2020,South,Texas,Houston,Men's Street Footwear,M,$30.00 ,900,"$270,000 ","$94,500 ",35%,Outlet,29234361,29561286,0.009133567,
Sports Direct,1197831,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,M,$40.00 ,900,"$360,000 ","$126,000 ",35%,Outlet,29234361,29561286,0.01217809,
Sports Direct,1197831,8/8/2020,South,Texas,Houston,Women's Street Footwear,F,$35.00 ,725,"$253,750 ","$88,813 ",35%,Outlet,29234361,29561286,0.008583862,
Sports Direct,1197831,8/9/2020,South,Texas,Houston,Women's Athletic Footwear,F,$40.00 ,625,"$250,000 ","$112,500 ",45%,Outlet,29234361,29561286,0.008457007,
Walmart,1197831,8/10/2020,South,Texas,Houston,Men's Apparel,M,$45.00 ,525,"$236,250 ","$70,875 ",30%,Outlet,29234361,29561286,0.007991872,
Walmart,1197831,8/11/2020,South,Texas,Houston,Women's Apparel,F,$40.00 ,800,"$320,000 ","$160,000 ",50%,Outlet,29234361,29561286,0.010824969,
Walmart,1197831,8/12/2020,South,Texas,Houston,Men's Street Footwear,M,$30.00 ,925,"$277,500 ","$97,125 ",35%,Outlet,29234361,29561286,0.009387278,
Walmart,1197831,8/13/2020,South,Texas,Houston,Men's Athletic Footwear,M,$40.00 ,925,"$370,000 ","$129,500 ",35%,Outlet,29234361,29561286,0.01251637,
Walmart,1197831,8/14/2020,South,Texas,Houston,Women's Street Footwear,F,$35.00 ,775,"$271,250 ","$94,938 ",35%,Outlet,29234361,29561286,0.009175852,
Walmart,1197831,8/15/2020,South,Texas,Houston,Women's Athletic Footwear,F,$40.00 ,700,"$280,000 ","$126,000 ",45%,Outlet,29234361,29561286,0.009471848,
Walmart,1197831,8/16/2020,South,Texas,Houston,Men's Apparel,M,$45.00 ,600,"$270,000 ","$81,000 ",30%,Outlet,29234361,29561286,0.009133567,
Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,F,$40.00 ,950,"$380,000 ","$190,000 ",50%,Outlet,29234361,29561286,0.012854651,
Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,M,$40.00 ,950,"$380,000 ","$133,000 ",35%,Outlet,29234361,29561286,0.012854651,
Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,M,$45.00 ,950,"$427,500 ","$149,625 ",35%,Outlet,29234361,29561286,0.014461482,
Walmart,1197831,8/20/2020,South,Texas,Houston,Women's Street Footwear,F,$40.00 ,800,"$320,000 ","$112,000 ",35%,Outlet,29234361,29561286,0.010824969,
Walmart,1197831,8/21/2020,South,Texas,Houston,Women's Athletic Footwear,F,$40.00 ,750,"$300,000 ","$135,000 ",45%,Outlet,29234361,29561286,0.010148408,
Walmart,1197831,8/22/2020,South,Texas,Houston,Men's Apparel,M,$45.00 ,650,"$292,500 ","$87,750 ",30%,Outlet,29234361,29561286,0.009894698,
Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,F,$50.00 ,"1,000","$500,000 ","$250,000 ",50%,Outlet,29234361,29561286,0.016914014,
Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,M,$40.00 ,950,"$380,000 ","$133,000 ",35%,Outlet,29234361,29561286,0.012854651,
Walmart,1197831,8/25/2020,South,Texas,Houston,Men's Athletic Footwear,M,$45.00 ,950,"$427,500 ","$149,625 ",35%,Outlet,29234361,29561286,0.014461482,
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,F,$40.00 ,"1,100","$440,000 ","$154,000 ",35%,Outlet,29234361,29561286,0.014884332,
Walmart,1197831,8/27/2020,South,Texas,Houston,Women's Athletic Footwear,F,$40.00 ,700,"$280,000 ","$126,000 ",45%,Outlet,29234361,29561286,0.009471848,
Walmart,1197831,8/28/2020,South,Texas,Houston,Men's Apparel,M,$45.00 ,700,"$315,000 ","$94,500 ",30%,Outlet,29234361,29561286,0.010655829,
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,F,$50.00 ,975,"$487,500 ","$243,750 ",50%,Outlet,29234361,29561286,0.016491163,
Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,M,$40.00 ,925,"$370,000 ","$129,500 ",35%,Outlet,29234361,29561286,0.01251637,
Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,M,$45.00 ,925,"$416,250 ","$145,688 ",35%,Outlet,29234361,29561286,0.014080917,
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,F,$40.00 ,"1,100","$440,000 ","$154,000 ",35%,Outlet,29234361,29561286,0.014884332,
Walmart,1197831,9/2/2020,South,Texas,Houston,Women's Athletic Footwear,F,$40.00 ,650,"$260,000 ","$117,000 ",45%,Outlet,29234361,29561286,0.008795287,
Walmart,1197831,9/3/2020,South,Texas,Houston,Men's Apparel,M,$45.00 ,650,"$292,500 ","$87,750 ",30%,Outlet,29234361,29561286,0.009894698,
Walmart,1197831,9/4/2020,South,Texas,Houston,Women's Apparel,F,$50.00 ,900,"$450,000 ","$225,000 ",50%,Outlet,29234361,29561286,0.015222612,
Walmart,1197831,9/5/2020,South,Texas,Houston,Men's Street Footwear,M,$45.00 ,850,"$382,500 ","$133,875 ",35%,Outlet,29234361,29561286,0.012939221,
Walmart,1197831,9/6/2020,South,Texas,Houston,Men's Athletic Footwear,M,$45.00 ,850,"$382,500 ","$133,875 ",35%,Outlet,29234361,29561286,0.012939221,
Walmart,1197831,9/7/2020,South,Texas,Houston,Women's Street Footwear,F,$50.00 ,900,"$450,000 ","$157,500 ",35%,Outlet,29234361,29561286,0.015222612,
Walmart,1197831,9/8/2020,South,Texas,Houston,Women's Athletic Footwear,F,$50.00 ,625,"$312,500 ","$140,625 ",45%,Outlet,29234361,29561286,0.010571259,
Walmart,1197831,9/9/2020,South,Texas,Houston,Men's Apparel,M,$45.00 ,625,"$281,250 ","$84,375 ",30%,Outlet,29234361,29561286,0.009514133,
Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,F,$55.00 ,850,"$467,500 ","$233,750 ",50%,Outlet,29234361,29561286,0.015814603,
Walmart,1197831,9/11/2020,South,Texas,Houston,Men's Street Footwear,M,$45.00 ,800,"$360,000 ","$126,000 ",35%,Outlet,29234361,29561286,0.01217809,
Walmart,1197831,9/12/2020,South,Texas,Houston,Men's Athletic Footwear,M,$45.00 ,800,"$360,000 ","$126,000 ",35%,Outlet,29234361,29561286,0.01217809,
Walmart,1197831,9/13/2020,South,Texas,Houston,Women's Street Footwear,F,$50.00 ,750,"$375,000 ","$131,250 ",35%,Outlet,29234361,29561286,0.01268551,
Walmart,1197831,9/14/2020,South,Texas,Houston,Women's Athletic Footwear,F,$50.00 ,600,"$300,000 ","$135,000 ",45%,Outlet,29234361,29561286,0.010148408,
Walmart,1197831,9/15/2020,South,Texas,Houston,Men's Apparel,M,$45.00 ,575,"$258,750 ","$77,625 ",30%,Outlet,29234361,29561286,0.008753002,
Walmart,1197831,9/16/2020,South,Texas,Houston,Women's Apparel,F,$55.00 ,750,"$412,500 ","$206,250 ",50%,Outlet,29234361,29561286,0.013954061,
Walmart,1197831,10/20/2020,South,Texas,Houston,Men's Street Footwear,M,$45.00 ,900,"$405,000 ","$141,750 ",35%,Outlet,29234361,29561286,0.013700351,
Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,M,$45.00 ,900,"$405,000 ","$141,750 ",35%,Outlet,29234361,29561286,0.013700351,
Walmart,1197831,10/22/2020,South,Texas,Houston,Women's Street Footwear,F,$50.00 ,825,"$412,500 ","$144,375 ",35%,Outlet,29234361,29561286,0.013954061,
Walmart,1197831,10/23/2020,South,Texas,Houston,Women's Athletic Footwear,F,$50.00 ,675,"$337,500 ","$151,875 ",45%,Outlet,29234361,29561286,0.011416959,
Walmart,1197831,10/24/2020,South,Texas,Houston,Men's Apparel,M,$45.00 ,650,"$292,500 ","$87,750 ",30%,Outlet,29234361,29561286,0.009894698,
Walmart,1197831,10/25/2020,South,Texas,Houston,Women's Apparel,F,$55.00 ,850,"$467,500 ","$233,750 ",50%,Outlet,29234361,29561286,0.015814603,
Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,M,$45.00 ,950,"$427,500 ","$149,625 ",35%,Outlet,29234361,29561286,0.014461482,
Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,M,$45.00 ,950,"$427,500 ","$149,625 ",35%,Outlet,29234361,29561286,0.014461482,
Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,F,$50.00 ,850,"$425,000 ","$148,750 ",35%,Outlet,29234361,29561286,0.014376912,
Walmart,1197831,10/29/2020,South,Texas,Houston,Women's Athletic Footwear,F,$50.00 ,700,"$350,000 ","$157,500 ",45%,Outlet,29234361,29561286,0.01183981,
Walmart,1197831,10/30/2020,South,Texas,Houston,Men's Apparel,M,$45.00 ,650,"$292,500 ","$87,750 ",30%,Outlet,29234361,29561286,0.009894698,
Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,F,$55.00 ,900,"$495,000 ","$247,500 ",50%,Outlet,29234361,29561286,0.016744874,
West Gear,1128299,11/1/2020,South,Texas,Houston,Men's Street Footwear,M,$40.00 ,775,"$310,000 ","$108,500 ",35%,Outlet,29234361,29561286,0.010486689,
West Gear,1128299,11/2/2020,South,Texas,Houston,Men's Athletic Footwear,M,$50.00 ,775,"$387,500 ","$77,500 ",20%,Outlet,29234361,29561286,0.013108361,
West Gear,1128299,11/3/2020,South,Texas,Houston,Women's Street Footwear,F,$50.00 ,775,"$387,500 ","$135,625 ",35%,Outlet,29234361,29561286,0.013108361,
West Gear,1128299,11/4/2020,South,Texas,Houston,Women's Athletic Footwear,F,$50.00 ,625,"$312,500 ","$93,750 ",30%,Outlet,29234361,29561286,0.010571259,
West Gear,1128299,11/5/2020,West,California,San Francisco,Men's Apparel,M,$55.00 ,575,"$316,250 ","$158,125 ",50%,Outlet,39503200,39145060,0.008078925,
West Gear,1128299,11/6/2020,West,California,San Francisco,Women's Apparel,F,$50.00 ,775,"$387,500 ","$58,125 ",15%,Outlet,39503200,39145060,0.009899078,
West Gear,1128299,11/7/2020,West,California,San Francisco,Men's Street Footwear,M,$40.00 ,825,"$330,000 ","$115,500 ",35%,Outlet,39503200,39145060,0.008430183,
West Gear,1128299,11/8/2020,West,California,San Francisco,Men's Athletic Footwear,M,$50.00 ,725,"$362,500 ","$72,500 ",20%,Outlet,39503200,39145060,0.009260428,
West Gear,1128299,11/9/2020,West,California,San Francisco,Women's Street Footwear,F,$50.00 ,725,"$362,500 ","$126,875 ",35%,Outlet,39503200,39145060,0.009260428,
West Gear,1128299,11/10/2020,West,California,San Francisco,Women's Athletic Footwear,F,$50.00 ,575,"$287,500 ","$86,250 ",30%,Outlet,39503200,39145060,0.007344477,
West Gear,1128299,11/11/2020,West,California,San Francisco,Men's Apparel,M,$55.00 ,500,"$275,000 ","$137,500 ",50%,Outlet,39503200,39145060,0.007025152,
West Gear,1128299,11/12/2020,West,California,San Francisco,Women's Apparel,F,$50.00 ,700,"$350,000 ","$52,500 ",15%,Outlet,39503200,39145060,0.008941103,
West Gear,1128299,11/13/2020,West,California,San Francisco,Men's Street Footwear,M,$50.00 ,850,"$425,000 ","$148,750 ",35%,Outlet,39503200,39145060,0.010857053,
West Gear,1128299,11/14/2020,West,California,San Francisco,Men's Athletic Footwear,M,$60.00 ,700,"$420,000 ","$84,000 ",20%,Outlet,39503200,39145060,0.010729323,
West Gear,1128299,11/15/2020,West,California,San Francisco,Women's Street Footwear,F,$60.00 ,700,"$420,000 ","$147,000 ",35%,Outlet,39503200,39145060,0.010729323,
West Gear,1128299,12/22/2020,West,California,San Francisco,Women's Athletic Footwear,F,$60.00 ,600,"$360,000 ","$108,000 ",30%,Outlet,39503200,39145060,0.009196563,
West Gear,1128299,12/23/2020,West,California,San Francisco,Men's Apparel,M,$65.00 ,500,"$325,000 ","$162,500 ",50%,Outlet,39503200,39145060,0.008302452,
West Gear,1128299,12/24/2020,West,California,San Francisco,Women's Apparel,F,$60.00 ,700,"$420,000 ","$63,000 ",15%,Outlet,39503200,39145060,0.010729323,
West Gear,1128299,12/25/2020,West,California,San Francisco,Men's Street Footwear,M,$60.00 ,875,"$525,000 ","$183,750 ",35%,Outlet,39503200,39145060,0.013411654,
